player_name,draft_year,college,season,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_share,tds_share,dominator_rating
Drake London,2022,USC,2021,1084.0,7.0,3580.0,21.0,30.3,33.3,31.8
Garrett Wilson,2022,Ohio State,2021,1058.0,12.0,4952.0,46.0,21.4,26.1,23.7
Chris Olave,2022,Ohio State,2021,936.0,13.0,4952.0,46.0,18.9,28.3,23.6
Jameson Williams,2022,Alabama,2021,1572.0,15.0,5073.0,48.0,31.0,31.2,31.1
Jahan Dotson,2022,Penn State,2021,1182.0,12.0,3491.0,25.0,33.9,48.0,40.9
Treylon Burks,2022,Arkansas,2021,1104.0,11.0,2781.0,22.0,39.7,50.0,44.8
Christian Watson,2022,North Dakota State,2021,801.0,,,,,,
Wan'Dale Robinson,2022,Kentucky,2021,1334.0,7.0,2933.0,24.0,45.5,29.2,37.3
John Metchie,2022,Alabama,2021,1142.0,8.0,5073.0,48.0,22.5,16.7,19.6
Tyquan Thornton,2022,Baylor,2021,948.0,10.0,2843.0,24.0,33.3,41.7,37.5
George Pickens,2022,Georgia,2021,107.0,0.0,3778.0,39.0,2.8,,1.4
Alec Pierce,2022,Cincinnati,2021,884.0,8.0,3377.0,33.0,26.2,24.2,25.2
Skyy Moore,2022,Western Michigan,2021,1292.0,10.0,3297.0,23.0,39.2,43.5,41.3
Velus Jones Jr.,2022,Tennessee,2021,807.0,7.0,3342.0,33.0,24.1,21.2,22.7
Jalen Tolbert,2022,South Alabama,2021,1474.0,8.0,3072.0,22.0,48.0,36.4,42.2
David Bell,2022,Purdue,2021,1286.0,6.0,4620.0,35.0,27.8,17.1,22.5
Danny Gray,2022,SMU,2021,803.0,9.0,3654.0,39.0,22.0,23.1,22.5
Erik Ezukanma,2022,Texas Tech,2021,705.0,4.0,3344.0,18.0,21.1,22.2,21.7
Romeo Doubs,2022,Nevada,2021,1109.0,11.0,4511.0,38.0,24.6,28.9,26.8
Calvin Austin III,2022,Memphis,2021,1149.0,8.0,3585.0,26.0,32.1,30.8,31.4
Khalil Shakir,2022,Boise State,2021,1117.0,7.0,3127.0,20.0,35.7,35.0,35.4
Montrell Washington,2022,Samford,2021,124.0,,,,,,
Kyle Philips,2022,UCLA,2021,739.0,10.0,2714.0,23.0,27.2,43.5,35.4
Jalen Nailor,2022,Michigan State,2021,695.0,6.0,3298.0,27.0,21.1,22.2,21.6
Michael Woods II,2022,Oklahoma,2021,400.0,,3425.0,32.0,11.7,,
Bo Melton,2022,Rutgers,2021,618.0,3.0,2229.0,9.0,27.7,33.3,30.5
Dareke Young,2022,Lenoir-Rhyne,2021,303.0,,,,,,
Samori Toure,2022,Nebraska,2021,898.0,5.0,3197.0,14.0,28.1,35.7,31.9
Jaxon Smith-Njigba,2023,Ohio State,2022,43.0,0.0,3878.0,42.0,1.1,,0.6
Quentin Johnston,2023,TCU,2022,1069.0,6.0,3926.0,33.0,27.2,18.2,22.7
Zay Flowers,2023,Boston Col.,2022,1077.0,12.0,2965.0,21.0,36.3,57.1,46.7
Jordan Addison,2023,USC,2022,875.0,8.0,4694.0,43.0,18.6,18.6,18.6
Jonathan Mingo,2023,Mississippi,2022,862.0,5.0,3118.0,22.0,27.6,22.7,25.2
Jayden Reed,2023,Michigan State,2022,636.0,5.0,2880.0,23.0,22.1,21.7,21.9
Rashee Rice,2023,SMU,2022,1355.0,10.0,4117.0,36.0,32.9,27.8,30.3
Marvin Mims,2023,Oklahoma,2022,1083.0,6.0,3310.0,27.0,32.7,22.2,27.5
Tank Dell,2023,Houston,2022,1398.0,,4082.0,40.0,34.2,,
Jalin Hyatt,2023,Tennessee,2022,1267.0,15.0,4239.0,38.0,29.9,39.5,34.7
Cedric Tillman,2023,Tennessee,2022,417.0,3.0,4239.0,38.0,9.8,7.9,8.9
Josh Downs,2023,North Carolina,2022,1029.0,11.0,4330.0,38.0,23.8,28.9,26.4
Michael Wilson,2023,Stanford,2022,418.0,4.0,3051.0,15.0,13.7,26.7,20.2
Tre Tucker,2023,Cincinnati,2022,672.0,3.0,3155.0,22.0,21.3,13.6,17.5
Derius Davis,2023,TCU,2022,531.0,5.0,3926.0,33.0,13.5,15.2,14.3
Charlie Jones,2023,Purdue,2022,1361.0,12.0,3895.0,26.0,34.9,46.2,40.5
Tyler Scott,2023,Cincinnati,2022,899.0,9.0,3155.0,22.0,28.5,40.9,34.7
Justin Shorter,2023,Florida,2022,577.0,2.0,2910.0,18.0,19.8,11.1,15.5
Dontayvion Wicks,2023,Virginia,2022,430.0,2.0,2210.0,7.0,19.5,28.6,24.0
Puka Nacua,2023,BYU,2022,625.0,5.0,3246.0,32.0,19.3,15.6,17.4
Parker Washington,2023,Penn State,2022,611.0,2.0,3283.0,29.0,18.6,6.9,12.8
Kayshon Boutte,2023,LSU,2022,538.0,2.0,3770.0,23.0,14.3,8.7,11.5
Trey Palmer,2023,Nebraska,2022,1043.0,9.0,2650.0,17.0,39.4,52.9,46.1
A.T. Perry,2023,Wake Forest,2022,1096.0,11.0,4055.0,43.0,27.0,25.6,26.3
Elijah Higgins,2023,Stanford,2022,704.0,2.0,3051.0,15.0,23.1,13.3,18.2
Xavier Hutchinson,2023,Iowa State,2022,1171.0,6.0,3141.0,19.0,37.3,31.6,34.4
Andrei Iosivas,2023,Princeton,2022,943.0,,,,,,
DeMario Douglas,2023,Liberty,2022,993.0,6.0,2815.0,21.0,35.3,28.6,31.9
Antoine Green,2023,North Carolina,2022,798.0,7.0,4330.0,38.0,18.4,18.4,18.4
Colton Dowell,2023,UT Martin,2022,1032.0,,,,,,
Jalen Brooks,2023,South Carolina,2022,504.0,1.0,3379.0,23.0,14.9,4.3,9.6
Ronnie Bell,2023,Michigan,2022,889.0,4.0,3078.0,24.0,28.9,16.7,22.8
Grant Dubose,2023,Charlotte,2022,792.0,9.0,3254.0,27.0,24.3,33.3,28.8
