player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,speed_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,slap_tier
Jeremiyah Love,Notre Dame,RB,,214.0,,,,,,,49.7,199.0,1372.0,18.0,27.0,280.0,3.0,21.0,12.0,322.0,3061.0,25.0,9.1,12.0,10.6,0.87,9,97.2,96.4,0.8,Elite
Jadarian Price,Notre Dame,RB,,209.0,,,,,,,49.7,113.0,674.0,11.0,6.0,87.0,2.0,13.0,12.0,322.0,3061.0,25.0,2.8,8.0,5.4,0.27,61,70.0,82.3,-12.3,Strong
Jonah Coleman,Washington,RB,,228.0,,,,,,,42.6,156.0,758.0,15.0,31.0,354.0,2.0,17.0,13.0,370.0,3178.0,26.0,11.1,7.7,9.4,0.96,73,85.4,78.3,7.1,Elite
Emmett Johnson,Nebraska,RB,,200.0,,,,,,,42.6,251.0,1451.0,12.0,46.0,370.0,3.0,15.0,13.0,378.0,2920.0,23.0,12.7,13.0,12.9,0.98,74,86.7,77.5,9.2,Elite
Mike Washington Jr.,Arkansas,RB,,217.0,,,,,,,42.6,168.0,1068.0,8.0,28.0,226.0,1.0,9.0,12.0,381.0,3155.0,22.0,7.2,4.5,5.9,0.59,100,66.5,68.2,-1.7,Strong
Kaytron Allen,Penn State,RB,,217.0,,,,,,,42.6,210.0,1303.0,15.0,18.0,68.0,0.0,15.0,13.0,339.0,2439.0,16.0,2.8,0.0,1.4,0.2,101,51.1,68.2,-17.1,Average
Nick Singleton,Penn State,RB,,219.0,,,,,,,42.6,123.0,549.0,13.0,24.0,219.0,1.0,14.0,13.0,339.0,2439.0,16.0,9.0,6.2,7.6,0.65,115,65.2,62.1,3.1,Strong
Demond Claiborne,Wake Forest,RB,,195.0,,,,,,,42.6,179.0,905.0,10.0,28.0,140.0,0.0,10.0,13.0,406.0,3090.0,18.0,4.5,0.0,2.3,0.34,172,24.7,32.9,-8.2,Long Shot
Kaelon Black,Indiana,RB,,210.0,,,,,,,42.6,187.0,1039.0,10.0,4.0,36.0,0.0,10.0,16.0,406.0,3826.0,46.0,0.9,0.0,0.5,0.09,182,14.2,29.1,-14.9,Long Shot
Roman Hemby,Indiana,RB,,208.0,,,,,,,42.6,230.0,1120.0,7.0,17.0,165.0,0.0,7.0,16.0,406.0,3826.0,46.0,4.3,0.0,2.2,0.41,183,21.7,28.2,-6.5,Long Shot
Adam Randall,Clemson,RB,,230.0,,,,,,,42.6,168.0,814.0,10.0,36.0,254.0,3.0,13.0,13.0,474.0,3481.0,22.0,7.3,13.6,10.5,0.54,190,28.7,26.5,2.2,Long Shot
Seth McGowan,Kentucky,RB,,215.0,,,,,,,42.6,165.0,725.0,12.0,19.0,126.0,0.0,12.0,12.0,367.0,2423.0,15.0,5.2,0.0,2.6,0.34,191,20.3,26.5,-6.2,Long Shot
J'Mari Taylor,Virginia,RB,,204.0,,,,,,,42.6,222.0,1062.0,14.0,43.0,253.0,1.0,15.0,14.0,492.0,3348.0,18.0,7.6,5.6,6.6,0.51,207,21.2,19.9,1.3,Long Shot
Robert Henry Jr.,UTSA,RB,,210.0,,,,,,,42.6,151.0,1045.0,9.0,18.0,114.0,2.0,11.0,13.0,448.0,3214.0,34.0,3.5,5.9,4.7,0.25,215,11.5,16.8,-5.3,Long Shot
Jaydn Ott,Oklahoma,RB,,205.0,,,,,,,42.6,21.0,68.0,0.0,2.0,10.0,0.0,0.0,13.0,431.0,3066.0,17.0,0.3,0.0,0.2,0.02,222,3.6,14.2,-10.6,Long Shot
Le'Veon Moss,Texas A&M,RB,,210.0,,,,,,,42.6,77.0,404.0,6.0,2.0,3.0,0.0,6.0,13.0,408.0,3378.0,26.0,0.1,0.0,0.0,0.01,226,3.2,13.3,-10.1,Long Shot
Noah Whittington,Oregon,RB,,203.0,,,,,,,42.6,129.0,829.0,6.0,19.0,98.0,1.0,7.0,15.0,437.0,3804.0,31.0,2.6,3.2,2.9,0.22,238,6.3,8.0,-1.7,Long Shot
Jamarion Miller,Alabama,RB,,221.0,,,,,,,42.6,130.0,504.0,3.0,19.0,109.0,0.0,3.0,15.0,523.0,3953.0,32.0,2.8,0.0,1.4,0.21,245,5.0,5.8,-0.8,Long Shot
C.J. Donaldson,Ohio State,RB,,225.0,,,,,,,42.6,96.0,361.0,10.0,15.0,96.0,1.0,11.0,14.0,408.0,3755.0,33.0,2.6,3.0,2.8,0.24,250,5.0,4.1,0.9,Long Shot
Max Bredeson,Michigan,RB,,250.0,,,,,,,42.6,,,,2.0,11.0,0.0,0.0,13.0,340.0,2428.0,11.0,0.5,0.0,0.2,0.03,250,1.0,4.1,-3.1,Long Shot
Kentrel Bullock,South Alabama,RB,,205.0,,,,,,,42.6,218.0,1085.0,14.0,14.0,53.0,1.0,15.0,12.0,310.0,2173.0,13.0,2.4,7.7,5.1,0.17,250,3.2,4.1,-0.9,Long Shot
Chip Trayanum,Toledo,RB,,233.0,,,,,,,42.6,,,,,212.0,,,13.0,399.0,3095.0,27.0,6.8,,,0.53,250,11.5,4.1,7.4,Long Shot
Dean Connors,Houston,RB,,206.0,,,,,,,42.6,200.0,977.0,6.0,34.0,254.0,3.0,9.0,13.0,377.0,2813.0,26.0,9.0,11.5,10.3,0.67,250,17.3,4.1,13.2,Long Shot
Rahsul Faison,South Carolina,RB,,218.0,,,,,,,42.6,96.0,470.0,3.0,19.0,118.0,0.0,3.0,12.0,342.0,2703.0,13.0,4.4,0.0,2.2,0.35,250,6.3,4.1,2.2,Long Shot
Desmond Reid,Pittsburgh,RB,,175.0,,,,,,,42.6,60.0,278.0,2.0,23.0,317.0,2.0,4.0,13.0,464.0,3556.0,29.0,8.9,6.9,7.9,0.68,250,19.0,4.1,14.9,Long Shot
Terion Stewart,Virginia Tech,RB,,222.0,,,,,,,42.6,82.0,469.0,0.0,4.0,19.0,0.0,0.0,12.0,319.0,1996.0,17.0,1.0,0.0,0.5,0.06,250,1.0,4.1,-3.1,Long Shot
Jamal Haynes,Georgia Tech,RB,,190.0,,,,,,,42.6,124.0,531.0,5.0,33.0,257.0,0.0,5.0,13.0,394.0,3413.0,16.0,7.5,0.0,3.8,0.65,250,17.3,4.1,13.2,Long Shot
Rueben Owens,Texas A&M,RB,,215.0,,,,,,,42.6,119.0,639.0,5.0,13.0,130.0,0.0,5.0,13.0,408.0,3378.0,26.0,3.8,0.0,1.9,0.32,250,8.0,4.1,3.9,Long Shot
Kedrick Reescano,Arizona,RB,,213.0,,,,,,,42.6,84.0,396.0,9.0,3.0,12.0,0.0,9.0,13.0,447.0,3318.0,29.0,0.4,0.0,0.2,0.03,250,1.0,4.1,-3.1,Long Shot
